Table 1
Rk,Player,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches
111,Noxolo Cesane,MF,za South Africa,22,2000,2,1,54,0.6,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,Matches
112,Ivonne Chacón,"MF,FW",co Colombia,25,1997,2,0,18,0.2,0,0,0,0,0,0,0,0,0.1,0.1,0,0.1,0,1,5,0,0,0,0,0,0.55,0,0.55,0.55,0.55,Matches
113,Nesryne El Chad,DF,ma Morocco,20,2003,4,3,279,3.1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0.01,0,0.01,0.01,0.01,Matches
114,Kang Chae-rim,"FW,MF",kr Korea Republic,25,1998,2,0,24,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,Matches
115,Olivia Chance,"FW,MF",nz New Zealand,29,1993,2,1,90,1,0,0,0,0,0,0,0,0,0.1,0.1,0.3,0.4,4,2,9,0,0,0,0,0,0.06,0.3,0.36,0.06,0.36,Matches
116,Hellen Chanda,MF,zm Zambia,24,1998,1,1,89,1,0,0,0,0,0,0,0,0,0.1,0.1,0,0.1,0,1,1,0,0,0,0,0,0.05,0,0.05,0.05,0.05,Matches
117,Allysha Chapman,DF,ca Canada,34,1989,3,0,66,0.7,0,0,0,0,0,0,0,0,0,0,0.2,0.2,0,4,2,0,0,0,0,0,0,0.23,0.23,0,0.23,Matches
118,Niamh Charles,"DF,MF",eng England,23,1999,2,0,21,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,3,5,0,0,0,0,0,0,0,0,0,0,Matches
119,Gabriela Chávez,DF,ar Argentina,34,1989,1,0,20,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
120,Ghizlane Chebbak,MF,ma Morocco,32,1990,4,4,360,4,0,0,0,0,0,1,1,0,0.9,0.2,0.6,0.8,6,22,11,0,0,0,0,0,0.23,0.16,0.39,0.04,0.19,Matches
121,Gao Chen,DF,cn China PR,30,1992,1,0,6,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,Matches
122,Wu Chengshu,"FW,MF",cn China PR,26,1996,3,3,223,2.5,0,0,0,0,0,0,0,0,0.1,0.1,0,0.1,0,5,13,0,0,0,0,0,0.06,0,0.06,0.06,0.06,Matches
123,Remina Chiba,MF,jp Japan,24,1999,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,3.44,0,3.44,3.44,3.44,Matches
124,Alex Chidiac,MF,au Australia,24,1999,3,0,26,0.3,0,0,0,0,0,0,0,0,0.1,0.1,0.5,0.5,0,1,5,0,0,0,0,0,0.28,1.56,1.84,0.28,1.84,Matches
125,Priscila Chinchilla,"FW,MF",cr Costa Rica,21,2001,3,3,270,3,0,0,0,0,0,0,1,0,0,0,0.1,0.1,2,3,21,0,0,0,0,0,0,0.04,0.04,0,0.04,Matches
126,Avell Chitundu,"MF,FW",zm Zambia,25,1997,3,1,156,1.7,0,1,1,0,0,0,0,0,0.2,0.2,0.2,0.4,3,6,3,0,0.58,0.58,0,0.58,0.09,0.12,0.22,0.09,0.22,Matches
127,Lene Christensen,GK,dk Denmark,23,2000,4,4,360,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
128,Laia Codina,DF,es Spain,23,2000,4,4,328,3.6,1,0,1,1,0,0,0,0,0.4,0.4,0,0.4,1,11,1,0.27,0,0.27,0.27,0.27,0.1,0,0.1,0.1,0.1,Matches
129,Cata Coll,GK,es Spain,22,2001,4,4,390,4.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
130,Aldana Cometti,DF,ar Argentina,27,1996,3,3,270,3,0,0,0,0,0,0,0,0,0,0,0.2,0.2,0,6,0,0,0,0,0,0,0,0.05,0.05,0,0.05,Matches
